반복점프,제자리멀리뛰기,왕복오래달리기
36,150,15
55,240,32
32,157,28
32,175,41
44,215,40
21,141,16
30,145,33
58,220,58
47,230,36
52,190,54
38,150,18
27,133,15
26,166,18
42,215,71
54,255,54
54,207,40
48,208,46
55,200,56
9,155,10
57,205,56
48,235,40
30,180,24
57,235,68
15,103,15
64,240,68
45,176,40
33,161,30
31,152,36
33,135,15
56,245,68
33,163,20
21,150,15
37,155,38
49,210,43
21,125,7
32,150,36
19,135,16
47,210,54
39,215,42
17,151,30
40,155,24
26,134,15
59,235,48
48,235,68
30,118,20
16,0.15,24
54,210,60
51,220,50
41,150,33
52,150,45
27,140,15
20,110,10
30,140,15
34,125,15
37,219,36
5,90,10
19,130,11
47,198,67
21,120,10
31,125,18
42,200,40
14,132,11
29,124,20
23,145,10
49,165,12
51,190,50
49,220,64
3,149,16
20,130,16
36,147,14
31,170,16
22,135,15
41,170,22
50,195,43
30,160,37
51,215,31
37,203,41
43,205,30
40,163,15
54,190,54
54,192,72
52,172,50
52,170,30
28,130,9
23,130,10
26,130,13
30,170,22
44,232,40
33,183,40
27,100,15
30,157,21
49,195,17
43,185,20
22,160,9
48,200,66
3,127,11
50,240,53
23,127,14
45,170,32
43,178,62
34,150,10
36,153,22
40,183,30
43,175,19
21,150,15
48,185,10
55,215,53
26,145,10
40,120,20
16,120,13
36,155,17
51,195,30
45,224,54
44,180,20
39,160,14
49,186,72
35,150,13
51,170,14
30,135,13
32,145,15
52,225,28
47,195,24
46,182,12
35,180,34
13,137,16
62,230,62
29,190,27
38,180,19
29,160,25
42,205,36
17,110,17
19,151,21
32,140,26
46,182,30
42,147,18
32,195,36
10,120,10
48,220,62
48,195,32
20,145,21
46,215,37
44,150,10
35,145,16
44,165,30
39,180,16
8,179,18
9,105,6
46,154,31
35,114,18
42,180,18
35,140,22
35,168,37
49,138,55
50,152,42
27,156,33
22,115,8
21,145,24
21,137,43
21,113,8
23,147,21
22,168,16
29,165,24
37,169,34
26,134,22
38,160,24
29,122,22
3,30,2
49,168,55
46,147,16
53,183,66
26,104,28
31,126,17
54,210,54
50,166,25
61,195,51
28,95,19
50,215,42
46,149,20
24,146,26
25,110,12
53,182,51
10,140,12
43,151,17
24,90,25
48,170,40
24,154,30
30,140,28
36,161,12
42,152,15
40,207,56
37,170,29
43,141,15
32,162,27
48,150,32
34,180,18
20,138,6
10,121,10
15,110,10
26,125,34
56,171,31
47,144,10
32,119,9
16,114,8
33,132,30
43,171,23
45,159,40
49,160,41
14,126,9
24,129,36
26,130,14
20,131,15
37,172,12
40,172,36
45,170,51
1,40,8
30,172,51
31,152,28
26,164,20
34,155,16
31,171,16
44,174,66
44,160,32
25,152,38
45,175,42
38,168,31
24,130,25
49,183,49
20,110,15
30,104,25
35,147,14
30,110,12
53,181,51
56,215,39
39,171,31
35,134,21
33,135,14
50,125,15
52,205,50
40,203,53
52,187,68
55,168,51
52,136,31
50,184,24
37,126,18
34,157,33
52,194,31
38,143,44
40,151,37
42,164,25
59,119,22
41,124,47
38,102,8
38,145,31
41,145,24
27,150,14
36,110,15
38,157,31
27,150,18
36,179,30
26,137,30
34,154,37
37,166,33
40,140,56
39,165,31
23,117,6
46,186,51
36,147,24
15,115,12
42,180,31
43,192,14
20,134,20
15,110,15
20,160,27
32,175,42
18,165,24
36,138,20
19,128,15
40,185,56
54,180,56
37,136,21
41,185,26
35,138,11
40,160,16
15,150,0
49,166,34
46,152,28
36,161,30
40,138,21
18,78,12
46,130,22
21,155,8
26,142,12
26,150,12
44,170,37
32,132,16
46,157,18
53,215,61
27,155,42
31,180,21
42,190,16
38,126,34
36,108,11
38,174,51
41,141,31
38,118,14
31,162,24
22,129,20
37,159,30
31,134,26
32,148,26
30,155,30
41,172,32
40,202,45
44,191,56
28,114,14
44,141,20
32,128,16
56,165,52
44,160,17
30,98,17
36,115,26
46,160,52
50,150,36
51,154,30
43,140,20
37,191,16
37,202,16
22,114,13
46,141,19
44,188,8
45,190,51
48,167,22
60,236,66
44,144,24
24,115,12
35,182,12
10,120,20
38,150,27
31,143,18
27,165,18
50,170,31
50,155,27
22,106,17
35,148,31
56,205,31
54,196,42
34,190,32
37,105,17
36,120,15
47,137,44
40,138,23
49,199,61
44,181,41
36,125,26
40,125,19
61,206,62
32,132,18
50,125,32
33,133,14
39,155,13
54,166,44
53,189,32
37,141,12
44,171,34
31,114,21
23,106,12
36,160,26
36,115,12
16,148,30
32,140,10
40,165,15
21,119,24
24,148,36
37,180,30
6,80,9
11,120,10
16,125,23
24,142,17
38,170,26
6,119,9
32,136,23
29,168,13
14,103,9
35,95,9
30,160,28
42,183,50
31,100,12
55,220,67
51,190,46
30,123,15
43,190,21
45,177,47
48,202,44
29,141,21
25,145,31
32,138,19
48,188,31
55,140,51
39,139,21
46,148,30
24,165,37
42,178,31
48,180,55
47,145,28
39,160,31
32,150,11
48,185,40
17,110,12
41,160,27
26,155,40
37,145,25
27,140,36
36,130,15
8,159,14
19,126,15
38,145,12
37,170,21
42,150,21
22,135,20
44,177,38
30,133,20
52,172,55
17,135,21
38,161,24
26,152,10
15,130,20
37,155,21
38,173,21
41,154,21
41,204,66
47,154,21
49,146,46
46,166,55
40,90,23
48,216,52
51,153,50
56,198,21
30,195,8
48,180,41
33,150,18
27,140,18
30,152,18
20,139,15
25,132,46
41,164,35
0,50,13
41,152,32
19,110,8
38,184,24
28,135,21
26,115,16
50,168,23
36,150,16
41,150,22
55,196,51
43,147,16
54,207,41
54,161,41
38,164,20
23,151,11
29,126,6
52,182,53
48,198,21
38,130,28
50,248,52
39,138,15
49,180,51
30,90,16
54,199,36
25,125,27
31,115,15
46,202,60
56,211,66
28,154,24
42,185,24
53,180,55
37,161,31
31,170,33
43,118,23
39,155,29
40,101,32
46,194,21
33,102,23
50,165,8
55,181,31
45,156,16
47,157,41
48,150,44
25,133,33
44,177,36
35,170,21
45,183,47
34,135,24
44,183,45
42,104,18
30,111,17
33,164,21
20,99,17
57,210,56
46,160,31
44,143,16
50,174,51
23,90,20
52,175,54
46,175,41
44,160,21
14,100,28
49,158,17
23,131,20
42,155,32
55,204,41
31,148,39
25,141,14
47,145,21
48,180,12
53,210,51
40,124,14
20,129,21
40,158,21
49,230,51
41,172,17
44,155,24
20,160,12
30,112,25
34,144,36
17,133,22
40,140,32
40,173,21
39,156,24
25,116,13
39,151,28
45,160,28
36,136,24
25,130,12
25,122,12
32,150,27
24,130,27
35,157,16
21,104,11
52,198,14
31,115,18
36,172,18
34,132,22
49,162,28
30,114,9
52,163,41
46,160,17
29,125,9
49,152,25
51,199,61
46,192,60
28,95,12
19,122,9
40,151,21
40,152,28
58,180,36
49,163,32
36,160,18
23,125,27
24,148,13
44,169,37
12,147,12
20,154,12
46,171,16
30,112,26
36,125,41
26,98,6
55,200,51
34,164,26
40,150,22
50,176,44
30,135,29
24,110,16
25,125,15
17,150,10
17,140,15
17,122,4
56,171,30
30,137,18
38,150,20
31,151,28
23,128,22
23,157,21
26,165,16
44,115,41
30,123,16
34,160,18
